Year,Country_Vehicle,value
1993,LU_CAR,85.2
1993,LU_TRN,5.0
1993,NL_BUS,6.5
1993,NL_CAR,85.1
1993,NL_TRN,8.4
1993,PL_BUS,28.0
1993,PL_CAR,54.2
1993,PL_TRN,17.7
1993,PT_BUS,19.3
1993,PT_CAR,72.2
1993,PT_TRN,8.5
1993,SE_BUS,9.3
1993,SE_CAR,84.4
1993,SE_TRN,6.3
1993,SI_BUS,21.1
1993,SI_CAR,75.8
1993,SI_TRN,3.1
1994,AT_BUS,10.6
1994,AT_CAR,77.8
1994,AT_TRN,11.6
1994,BE_BUS,11.8
1994,BE_CAR,82.6
1994,BE_TRN,5.6
1994,CH_BUS,4.0
1994,CH_CAR,79.8
1994,CH_TRN,16.2
1994,DE_BUS,7.3
1994,DE_CAR,85.8
1994,DE_TRN,6.9
1994,DK_BUS,15.5
1994,DK_CAR,76.4
1994,DK_TRN,8.1
1994,EL_BUS,31.1
1994,EL_CAR,66.7
1994,EL_TRN,2.2
1994,ES_BUS,13.0
1994,ES_CAR,81.9
1994,ES_TRN,5.1
1994,FI_BUS,13.2
1994,FI_CAR,81.8
1994,FI_TRN,5.0
1994,FR_BUS,5.7
1994,FR_CAR,86.5
1994,FR_TRN,7.8
1994,HU_BUS,23.5
1994,HU_CAR,64.3
1994,HU_TRN,12.2
1994,IE_BUS,13.6
1994,IE_CAR,83.0
1994,IE_TRN,3.4
1994,IT_BUS,11.0
1994,IT_CAR,83.0
1994,IT_TRN,6.0
1994,LU_BUS,9.8
1994,LU_CAR,84.9
1994,LU_TRN,5.3
1994,NL_BUS,7.1
1994,NL_CAR,85.4
1994,NL_TRN,7.5
1994,PL_BUS,26.4
1994,PL_CAR,57.9
1994,PL_TRN,15.6
1994,PT_BUS,17.9
1994,PT_CAR,74.3
1994,PT_TRN,7.8
1994,SE_BUS,9.3
1994,SE_CAR,84.4
1994,SE_TRN,6.3
1994,SI_BUS,20.4
1994,SI_CAR,76.6
1994,SI_TRN,3.0
1995,AT_BUS,10.9
1995,AT_CAR,77.2
1995,AT_TRN,12.0
1995,BE_BUS,11.3
1995,BE_CAR,82.9
1995,BE_TRN,5.8
1995,CH_BUS,3.8
1995,CH_CAR,82.3
1995,CH_TRN,13.9
1995,DE_BUS,7.2
1995,DE_CAR,85.4
1995,DE_TRN,7.4
1995,DK_BUS,16.6
1995,DK_CAR,75.7
1995,DK_TRN,7.7
1995,EL_BUS,30.7
1995,EL_CAR,66.9
1995,EL_TRN,2.4
1995,ES_BUS,13.0
1995,ES_CAR,82.0
1995,ES_TRN,5.0
1995,FI_BUS,13.1
1995,FI_CAR,81.7
1995,FI_TRN,5.2
1995,FR_BUS,5.6
1995,FR_CAR,86.8
1995,FR_TRN,7.5
1995,HU_BUS,23.6
1995,HU_CAR,64.4
1995,HU_TRN,12.0
1995,IE_BUS,13.6
1995,IE_CAR,83.0
1995,IE_TRN,3.4
1995,IT_BUS,11.7
1995,IT_CAR,82.4
1995,IT_TRN,5.9
1995,LU_BUS,9.8
1995,LU_CAR,85.0
1995,LU_TRN,5.2
1995,NL_BUS,7.0
1995,NL_CAR,85.4
1995,NL_TRN,7.6
1995,PL_BUS,19.9
1995,PL_CAR,64.6
1995,PL_TRN,15.5
1995,PT_BUS,16.4
1995,PT_CAR,76.5
1995,PT_TRN,7.1
1995,SE_BUS,9.3
1995,SE_CAR,84.1
1995,SE_TRN,6.6
1995,SI_BUS,19.5
1995,SI_CAR,77.6
1995,SI_TRN,2.8
1996,AT_BUS,10.7
1996,AT_CAR,77.4
1996,AT_TRN,11.9
1996,BE_BUS,11.3
1996,BE_CAR,82.9
1996,BE_TRN,5.9
1996,CH_BUS,3.6
1996,CH_CAR,82.5
1996,CH_TRN,13.9
1996,DE_BUS,7.1
1996,DE_CAR,85.4
1996,DE_TRN,7.5
1996,DK_BUS,17.4
1996,DK_CAR,75.2
1996,DK_TRN,7.4
1996,EL_BUS,29.6
1996,EL_CAR,67.9
1996,EL_TRN,2.5
1996,ES_BUS,23.3
1996,ES_CAR,68.5
1996,ES_TRN,8.3
1996,FI_BUS,13.0
1996,FI_CAR,81.7
1996,FI_TRN,5.3
1996,FR_BUS,5.6
1996,FR_CAR,86.4
