,STATISTIC,Statistic Label,TLIST(W1),Week,C03132V03784,Luas Line,UNIT,VALUE
69,TII03C01,Passenger Journeys,2019W24,2019 Week 24,-,All Luas lines,Number,925516.0
70,TII03C01,Passenger Journeys,2019W24,2019 Week 24,1,Red line,Number,471816.0
71,TII03C01,Passenger Journeys,2019W24,2019 Week 24,2,Green line,Number,453700.0
72,TII03C01,Passenger Journeys,2019W25,2019 Week 25,-,All Luas lines,Number,883208.0
73,TII03C01,Passenger Journeys,2019W25,2019 Week 25,1,Red line,Number,444675.0
74,TII03C01,Passenger Journeys,2019W25,2019 Week 25,2,Green line,Number,438533.0
75,TII03C01,Passenger Journeys,2019W26,2019 Week 26,-,All Luas lines,Number,905636.0
76,TII03C01,Passenger Journeys,2019W26,2019 Week 26,1,Red line,Number,457342.0
77,TII03C01,Passenger Journeys,2019W26,2019 Week 26,2,Green line,Number,448295.0
78,TII03C01,Passenger Journeys,2019W27,2019 Week 27,-,All Luas lines,Number,982288.0
79,TII03C01,Passenger Journeys,2019W27,2019 Week 27,1,Red line,Number,498818.0
80,TII03C01,Passenger Journeys,2019W27,2019 Week 27,2,Green line,Number,483470.0
81,TII03C01,Passenger Journeys,2019W28,2019 Week 28,-,All Luas lines,Number,919158.0
82,TII03C01,Passenger Journeys,2019W28,2019 Week 28,1,Red line,Number,478360.0
83,TII03C01,Passenger Journeys,2019W28,2019 Week 28,2,Green line,Number,440798.0
84,TII03C01,Passenger Journeys,2019W29,2019 Week 29,-,All Luas lines,Number,903958.0
85,TII03C01,Passenger Journeys,2019W29,2019 Week 29,1,Red line,Number,452205.0
86,TII03C01,Passenger Journeys,2019W29,2019 Week 29,2,Green line,Number,451753.0
87,TII03C01,Passenger Journeys,2019W30,2019 Week 30,-,All Luas lines,Number,926491.0
88,TII03C01,Passenger Journeys,2019W30,2019 Week 30,1,Red line,Number,469191.0
89,TII03C01,Passenger Journeys,2019W30,2019 Week 30,2,Green line,Number,457300.0
90,TII03C01,Passenger Journeys,2019W31,2019 Week 31,-,All Luas lines,Number,832452.0
91,TII03C01,Passenger Journeys,2019W31,2019 Week 31,1,Red line,Number,422939.0
92,TII03C01,Passenger Journeys,2019W31,2019 Week 31,2,Green line,Number,409513.0
93,TII03C01,Passenger Journeys,2019W32,2019 Week 32,-,All Luas lines,Number,807393.0
94,TII03C01,Passenger Journeys,2019W32,2019 Week 32,1,Red line,Number,423004.0
95,TII03C01,Passenger Journeys,2019W32,2019 Week 32,2,Green line,Number,384389.0
96,TII03C01,Passenger Journeys,2019W33,2019 Week 33,-,All Luas lines,Number,868677.0
97,TII03C01,Passenger Journeys,2019W33,2019 Week 33,1,Red line,Number,445915.0
98,TII03C01,Passenger Journeys,2019W33,2019 Week 33,2,Green line,Number,422762.0
99,TII03C01,Passenger Journeys,2019W34,2019 Week 34,-,All Luas lines,Number,862939.0
100,TII03C01,Passenger Journeys,2019W34,2019 Week 34,1,Red line,Number,448568.0
101,TII03C01,Passenger Journeys,2019W34,2019 Week 34,2,Green line,Number,414371.0
102,TII03C01,Passenger Journeys,2019W35,2019 Week 35,-,All Luas lines,Number,897355.0
103,TII03C01,Passenger Journeys,2019W35,2019 Week 35,1,Red line,Number,442634.0
104,TII03C01,Passenger Journeys,2019W35,2019 Week 35,2,Green line,Number,454721.0
105,TII03C01,Passenger Journeys,2019W36,2019 Week 36,-,All Luas lines,Number,933362.0
106,TII03C01,Passenger Journeys,2019W36,2019 Week 36,1,Red line,Number,454849.0
107,TII03C01,Passenger Journeys,2019W36,2019 Week 36,2,Green line,Number,478513.0
108,TII03C01,Passenger Journeys,2019W37,2019 Week 37,-,All Luas lines,Number,969818.0
109,TII03C01,Passenger Journeys,2019W37,2019 Week 37,1,Red line,Number,469489.0
110,TII03C01,Passenger Journeys,2019W37,2019 Week 37,2,Green line,Number,500329.0
111,TII03C01,Passenger Journeys,2019W38,2019 Week 38,-,All Luas lines,Number,990123.0
112,TII03C01,Passenger Journeys,2019W38,2019 Week 38,1,Red line,Number,484461.0
113,TII03C01,Passenger Journeys,2019W38,2019 Week 38,2,Green line,Number,505662.0
114,TII03C01,Passenger Journeys,2019W39,2019 Week 39,-,All Luas lines,Number,1031937.0
115,TII03C01,Passenger Journeys,2019W39,2019 Week 39,1,Red line,Number,515967.0
116,TII03C01,Passenger Journeys,2019W39,2019 Week 39,2,Green line,Number,515970.0
117,TII03C01,Passenger Journeys,2019W40,2019 Week 40,-,All Luas lines,Number,986159.0
118,TII03C01,Passenger Journeys,2019W40,2019 Week 40,1,Red line,Number,484015.0
119,TII03C01,Passenger Journeys,2019W40,2019 Week 40,2,Green line,Number,502144.0
120,TII03C01,Passenger Journeys,2019W41,2019 Week 41,-,All Luas lines,Number,1054749.0
121,TII03C01,Passenger Journeys,2019W41,2019 Week 41,1,Red line,Number,534986.0
122,TII03C01,Passenger Journeys,2019W41,2019 Week 41,2,Green line,Number,519763.0
123,TII03C01,Passenger Journeys,2019W42,2019 Week 42,-,All Luas lines,Number,1014017.0
124,TII03C01,Passenger Journeys,2019W42,2019 Week 42,1,Red line,Number,499959.0
125,TII03C01,Passenger Journeys,2019W42,2019 Week 42,2,Green line,Number,514057.0
126,TII03C01,Passenger Journeys,2019W43,2019 Week 43,-,All Luas lines,Number,1028522.0
127,TII03C01,Passenger Journeys,2019W43,2019 Week 43,1,Red line,Number,502241.0
128,TII03C01,Passenger Journeys,2019W43,2019 Week 43,2,Green line,Number,526281.0
129,TII03C01,Passenger Journeys,2019W44,2019 Week 44,-,All Luas lines,Number,924586.0
130,TII03C01,Passenger Journeys,2019W44,2019 Week 44,1,Red line,Number,471553.0
131,TII03C01,Passenger Journeys,2019W44,2019 Week 44,2,Green line,Number,453032.0
132,TII03C01,Passenger Journeys,2019W45,2019 Week 45,-,All Luas lines,Number,1019705.0
133,TII03C01,Passenger Journeys,2019W45,2019 Week 45,1,Red line,Number,497796.0
134,TII03C01,Passenger Journeys,2019W45,2019 Week 45,2,Green line,Number,521908.0
135,TII03C01,Passenger Journeys,2019W46,2019 Week 46,-,All Luas lines,Number,1038825.0
136,TII03C01,Passenger Journeys,2019W46,2019 Week 46,1,Red line,Number,514523.0
137,TII03C01,Passenger Journeys,2019W46,2019 Week 46,2,Green line,Number,524302.0
138,TII03C01,Passenger Journeys,2019W47,2019 Week 47,-,All Luas lines,Number,1062275.0
139,TII03C01,Passenger Journeys,2019W47,2019 Week 47,1,Red line,Number,530882.0
140,TII03C01,Passenger Journeys,2019W47,2019 Week 47,2,Green line,Number,531392.0
141,TII03C01,Passenger Journeys,2019W48,2019 Week 48,-,All Luas lines,Number,1113668.0
142,TII03C01,Passenger Journeys,2019W48,2019 Week 48,1,Red line,Number,544022.0
143,TII03C01,Passenger Journeys,2019W48,2019 Week 48,2,Green line,Number,569646.0
144,TII03C01,Passenger Journeys,2019W49,2019 Week 49,-,All Luas lines,Number,1080791.0
145,TII03C01,Passenger Journeys,2019W49,2019 Week 49,1,Red line,Number,519257.0
146,TII03C01,Passenger Journeys,2019W49,2019 Week 49,2,Green line,Number,561534.0
147,TII03C01,Passenger Journeys,2019W50,2019 Week 50,-,All Luas lines,Number,1151098.0
148,TII03C01,Passenger Journeys,2019W50,2019 Week 50,1,Red line,Number,556229.0
149,TII03C01,Passenger Journeys,2019W50,2019 Week 50,2,Green line,Number,594869.0
150,TII03C01,Passenger Journeys,2019W51,2019 Week 51,-,All Luas lines,Number,1173473.0
151,TII03C01,Passenger Journeys,2019W51,2019 Week 51,1,Red line,Number,550775.0
152,TII03C01,Passenger Journeys,2019W51,2019 Week 51,2,Green line,Number,622699.0
153,TII03C01,Passenger Journeys,2019W52,2019 Week 52,-,All Luas lines,Number,538511.0
154,TII03C01,Passenger Journeys,2019W52,2019 Week 52,1,Red line,Number,259211.0
155,TII03C01,Passenger Journeys,2019W52,2019 Week 52,2,Green line,Number,279301.0
156,TII03C01,Passenger Journeys,2019W53,2019 Week 53,-,All Luas lines,Number,
157,TII03C01,Passenger Journeys,2019W53,2019 Week 53,1,Red line,Number,
158,TII03C01,Passenger Journeys,2019W53,2019 Week 53,2,Green line,Number,
159,TII03C01,Passenger Journeys,2020W01,2020 Week 01,-,All Luas lines,Number,602998.0
160,TII03C01,Passenger Journeys,2020W01,2020 Week 01,1,Red line,Number,304607.0
161,TII03C01,Passenger Journeys,2020W01,2020 Week 01,2,Green line,Number,298391.0
162,TII03C01,Passenger Journeys,2020W02,2020 Week 02,-,All Luas lines,Number,828455.0
163,TII03C01,Passenger Journeys,2020W02,2020 Week 02,1,Red line,Number,401704.0
164,TII03C01,Passenger Journeys,2020W02,2020 Week 02,2,Green line,Number,426751.0
165,TII03C01,Passenger Journeys,2020W03,2020 Week 03,-,All Luas lines,Number,889804.0
166,TII03C01,Passenger Journeys,2020W03,2020 Week 03,1,Red line,Number,436427.0
167,TII03C01,Passenger Journeys,2020W03,2020 Week 03,2,Green line,Number,453378.0
168,TII03C01,Passenger Journeys,2020W04,2020 Week 04,-,All Luas lines,Number,904841.0
169,TII03C01,Passenger Journeys,2020W04,2020 Week 04,1,Red line,Number,438798.0
170,TII03C01,Passenger Journeys,2020W04,2020 Week 04,2,Green line,Number,466044.0
171,TII03C01,Passenger Journeys,2020W05,2020 Week 05,-,All Luas lines,Number,942828.0
172,TII03C01,Passenger Journeys,2020W05,2020 Week 05,1,Red line,Number,460495.0
173,TII03C01,Passenger Journeys,2020W05,2020 Week 05,2,Green line,Number,482333.0
174,TII03C01,Passenger Journeys,2020W06,2020 Week 06,-,All Luas lines,Number,920121.0
175,TII03C01,Passenger Journeys,2020W06,2020 Week 06,1,Red line,Number,460914.0
176,TII03C01,Passenger Journeys,2020W06,2020 Week 06,2,Green line,Number,459207.0
177,TII03C01,Passenger Journeys,2020W07,2020 Week 07,-,All Luas lines,Number,911461.0
178,TII03C01,Passenger Journeys,2020W07,2020 Week 07,1,Red line,Number,448811.0
179,TII03C01,Passenger Journeys,2020W07,2020 Week 07,2,Green line,Number,462651.0
180,TII03C01,Passenger Journeys,2020W08,2020 Week 08,-,All Luas lines,Number,923869.0
181,TII03C01,Passenger Journeys,2020W08,2020 Week 08,1,Red line,Number,461085.0
182,TII03C01,Passenger Journeys,2020W08,2020 Week 08,2,Green line,Number,462784.0
183,TII03C01,Passenger Journeys,2020W09,2020 Week 09,-,All Luas lines,Number,898856.0
