Year,Country_Code,value
2012,AT,260518000.0
2012,BG,26508000.0
2012,CH,513860000.0
2012,CZ,172580000.0
2012,DE,2564498000.0
2012,DK,201899000.0
2012,EE,4411000.0
2012,EL,12658000.0
2012,ES,568596000.0
2012,FI,69331000.0
2012,FR,1150297000.0
2012,HR,27576000.0
2012,HU,147688000.0
2012,IE,36918000.0
2012,IT,854836000.0
2012,LI,96000.0
2012,LT,4251000.0
2012,LU,19691000.0
2012,LV,19707000.0
2012,MK,1013000.0
2012,NO,62689000.0
2012,PL,266011000.0
2012,PT,132212000.0
2012,RO,57530000.0
2012,SE,193163000.0
2012,SI,15086000.0
2012,SK,44609000.0
2012,TR,70284000.0
2012,UK,1543261000.0
2013,AT,271888000.0
2013,BG,26059000.0
2013,CH,540352000.0
2013,CZ,174189000.0
2013,DE,2612764000.0
2013,DK,206160000.0
2013,EE,4199000.0
2013,EL,13195000.0
2013,ES,563269000.0
2013,FI,69318000.0
2013,FR,1164822000.0
2013,HR,24216000.0
2013,HU,148379000.0
2013,IE,37130000.0
2013,IT,854756000.0
2013,LI,96000.0
2013,LT,4346000.0
2013,LU,20549000.0
2013,LV,19730000.0
2013,ME,922000.0
2013,MK,853000.0
2013,NO,67251000.0
2013,PL,262382000.0
2013,PT,126079000.0
2013,RO,57393000.0
2013,SE,200706000.0
2013,SI,15995000.0
2013,SK,45946000.0
2013,TR,46442000.0
2013,UK,1599484000.0
2014,AT,270913000.0
2014,BA,528000.0
2014,BG,24615000.0
2014,CH,567049000.0
2014,CZ,175705000.0
2014,DE,2693080000.0
2014,DK,208311000.0
2014,EE,5905000.0
2014,EL,13399000.0
2014,ES,563801000.0
2014,FI,68262000.0
2014,FR,1157679000.0
2014,HR,21889000.0
2014,HU,146010000.0
2014,IE,38517000.0
2014,IT,864123000.0
2014,LI,97000.0
2014,LT,4126000.0
2014,LU,21503000.0
2014,LV,19190000.0
2014,ME,1122000.0
2014,MK,803000.0
2014,NO,70341000.0
2014,PL,260260000.0
2014,PT,128295000.0
2014,RO,64751000.0
2014,SE,207280000.0
2014,SI,14435000.0
2014,SK,49098000.0
2014,TR,78403000.0
2014,UK,1679746000.0
2015,AT,280060000.0
2015,BA,512000.0
2015,BG,22518000.0
2015,CH,582889000.0
2015,CZ,176146000.0
2015,DE,2684908000.0
2015,DK,212253000.0
2015,EE,6659000.0
2015,EL,16040000.0
2015,ES,567854000.0
2015,FI,75952000.0
2015,FR,1204201000.0
2015,HR,21649000.0
2015,IE,39660000.0
2015,IT,872623000.0
2015,LI,950000.0
2015,LT,3790000.0
2015,LU,22496000.0
2015,LV,17065000.0
2015,ME,1236000.0
2015,MK,1022000.0
2015,NO,73836000.0
2015,PL,269664000.0
2015,PT,130421000.0
2015,RO,66479000.0
2015,SE,214434000.0
2015,SI,14135000.0
2015,SK,60292000.0
2015,TR,95318000.0
2015,UK,1741562000.0
2016,AT,286990000.0
2016,BA,418000.0
2016,BG,21425000.0
2016,CH,602659000.0
2016,CZ,178766000.0
2016,DE,2813782000.0
2016,DK,211399000.0
2016,EE,6926000.0
2016,EL,15582000.0
2016,ES,575572000.0
2016,FI,82114000.0
2016,FR,1234996000.0
2016,HR,20709000.0
2016,IE,42820000.0
2016,IT,869199000.0
2016,LI,936000.0
2016,LT,3916000.0
2016,LU,22459000.0
2016,LV,17228000.0
2016,ME,1285000.0
2016,MK,663000.0
2016,NO,74293000.0
2016,PL,285094000.0
2016,PT,133472000.0
2016,RO,64455000.0
2016,SE,220945000.0
2016,SI,13650000.0
2016,SK,69150000.0
2016,TR,89038000.0
2016,UK,1772563000.0
2017,AT,288503000.0
