Statistic,Week,Mode_of_Transport,VALUE
Passenger Journeys,2019 Week 22,Dublin Metro Bus,2900323.0
Passenger Journeys,2019 Week 22,"Bus, excluding Dublin Metro",681399.0
Passenger Journeys,2019 Week 22,Rail,
Passenger Journeys,2019 Week 22,"All public transport, excluding LUAS",3581722.0
Passenger Journeys,2019 Week 23,Dublin Metro Bus,2591616.0
Passenger Journeys,2019 Week 23,"Bus, excluding Dublin Metro",617748.0
Passenger Journeys,2019 Week 23,Rail,
Passenger Journeys,2019 Week 23,"All public transport, excluding LUAS",3209364.0
Passenger Journeys,2019 Week 24,Dublin Metro Bus,2844409.0
Passenger Journeys,2019 Week 24,"Bus, excluding Dublin Metro",669882.0
Passenger Journeys,2019 Week 24,Rail,
Passenger Journeys,2019 Week 24,"All public transport, excluding LUAS",3514291.0
Passenger Journeys,2019 Week 25,Dublin Metro Bus,2826773.0
Passenger Journeys,2019 Week 25,"Bus, excluding Dublin Metro",680777.0
Passenger Journeys,2019 Week 25,Rail,
Passenger Journeys,2019 Week 25,"All public transport, excluding LUAS",3507550.0
Passenger Journeys,2019 Week 26,Dublin Metro Bus,2840156.0
Passenger Journeys,2019 Week 26,"Bus, excluding Dublin Metro",686867.0
Passenger Journeys,2019 Week 26,Rail,
Passenger Journeys,2019 Week 26,"All public transport, excluding LUAS",3527023.0
Passenger Journeys,2019 Week 27,Dublin Metro Bus,2953254.0
Passenger Journeys,2019 Week 27,"Bus, excluding Dublin Metro",705163.0
Passenger Journeys,2019 Week 27,Rail,
Passenger Journeys,2019 Week 27,"All public transport, excluding LUAS",3658417.0
Passenger Journeys,2019 Week 28,Dublin Metro Bus,2954091.0
Passenger Journeys,2019 Week 28,"Bus, excluding Dublin Metro",713037.0
Passenger Journeys,2019 Week 28,Rail,
Passenger Journeys,2019 Week 28,"All public transport, excluding LUAS",3667128.0
Passenger Journeys,2019 Week 29,Dublin Metro Bus,2895372.0
Passenger Journeys,2019 Week 29,"Bus, excluding Dublin Metro",701340.0
Passenger Journeys,2019 Week 29,Rail,
Passenger Journeys,2019 Week 29,"All public transport, excluding LUAS",3596712.0
Passenger Journeys,2019 Week 30,Dublin Metro Bus,2939485.0
Passenger Journeys,2019 Week 30,"Bus, excluding Dublin Metro",713657.0
Passenger Journeys,2019 Week 30,Rail,
Passenger Journeys,2019 Week 30,"All public transport, excluding LUAS",3653142.0
Passenger Journeys,2019 Week 31,Dublin Metro Bus,2725260.0
Passenger Journeys,2019 Week 31,"Bus, excluding Dublin Metro",680616.0
Passenger Journeys,2019 Week 31,Rail,
Passenger Journeys,2019 Week 31,"All public transport, excluding LUAS",3405876.0
Passenger Journeys,2019 Week 32,Dublin Metro Bus,2547806.0
Passenger Journeys,2019 Week 32,"Bus, excluding Dublin Metro",616761.0
Passenger Journeys,2019 Week 32,Rail,
Passenger Journeys,2019 Week 32,"All public transport, excluding LUAS",3164567.0
Passenger Journeys,2019 Week 33,Dublin Metro Bus,2724875.0
Passenger Journeys,2019 Week 33,"Bus, excluding Dublin Metro",697890.0
Passenger Journeys,2019 Week 33,Rail,
Passenger Journeys,2019 Week 33,"All public transport, excluding LUAS",3422765.0
Passenger Journeys,2019 Week 34,Dublin Metro Bus,2793023.0
Passenger Journeys,2019 Week 34,"Bus, excluding Dublin Metro",689702.0
Passenger Journeys,2019 Week 34,Rail,
Passenger Journeys,2019 Week 34,"All public transport, excluding LUAS",3482725.0
